nlc,station,note,entry_weekday,entry_saturday,entry_sunday,exit_weekday,exit_saturday,exit_sunday,annual_entry_exit_million,borough,year,total_weekday,total_weekend
650,Newbury Park                       , ,7100.0,4691.0,3154.0,5242.0,3980.0,2693.0,3.918391,,2011,12342.0,14518.0
653,North Acton                        , ,7817.0,4421.0,3127.0,7388.0,4023.0,2902.0,4.641664,,2011,15205.0,14473.0
654,North Ealing                       , ,1638.0,959.0,582.0,1417.0,891.0,567.0,0.936906,,2011,3055.0,2999.0
789,North Greenwich                    , ,23982.0,18661.0,12982.0,23714.0,19708.0,14790.0,15.700824,,2011,47696.0,66141.0
656,North Harrow                       , ,2561.0,1123.0,602.0,2347.0,1021.0,589.0,1.423481,,2011,4908.0,3335.0
659,North Wembley                      , ,2593.0,1768.0,1158.0,2407.0,1578.0,1107.0,1.572627,,2011,5000.0,5611.0
655,Northfields                        , ,6220.0,3880.0,2668.0,5969.0,3561.0,2731.0,3.78929,,2011,12189.0,12840.0
657,Northolt                           , ,6887.0,5032.0,3367.0,6540.0,4544.0,3142.0,4.279014,,2011,13427.0,16085.0
660,Northwick Park                     , ,6237.0,2624.0,1687.0,6116.0,2295.0,1650.0,3.57798,,2011,12353.0,8256.0
661,Northwood                          , ,3603.0,1700.0,994.0,3064.0,1531.0,987.0,1.971642,,2011,6667.0,5212.0
662,Northwood Hills                    , ,2319.0,1175.0,681.0,2042.0,1026.0,615.0,1.294249,,2011,4361.0,3497.0
663,Notting Hill Gate                  , ,24366.0,28983.0,14902.0,24034.0,33670.0,16493.0,17.355461,,2011,48400.0,94048.0
664,Oakwood                            , ,4288.0,3483.0,2317.0,4098.0,3193.0,2295.0,2.740918,,2011,8386.0,11288.0
665,Old Street                         , ,35386.0,17466.0,11183.0,34941.0,20052.0,10780.0,21.039484,,2011,70327.0,59481.0
667,Osterley                           , ,3438.0,2524.0,1791.0,3283.0,2160.0,1630.0,2.14582,,2011,6721.0,8105.0
668,Oval                               , ,9391.0,7368.0,4899.0,8799.0,5892.0,4501.0,5.84619,,2011,18190.0,22660.0
669,Oxford Circus                      , ,116093.0,86318.0,51752.0,125422.0,100972.0,54187.0,77.092776,,2011,241515.0,293229.0
670,Paddington                         , ,72384.0,49513.0,42096.0,72565.0,48754.0,37510.0,46.478735,,2011,144949.0,177873.0
671,Park Royal                         , ,2508.0,1621.0,1009.0,2595.0,1707.0,1006.0,1.583,,2011,5103.0,5343.0
672,Parsons Green                      , ,10193.0,5898.0,3542.0,9459.0,5086.0,3267.0,5.944855,,2011,19652.0,17793.0
673,Perivale                           , ,3431.0,2282.0,1450.0,3240.0,2055.0,1389.0,2.080788,,2011,6671.0,7176.0
674,Piccadilly Circus                  , ,57401.0,64038.0,39622.0,58128.0,67382.0,37003.0,40.583552,,2011,115529.0,208045.0
776,Pimlico                            , ,14635.0,8465.0,6267.0,13805.0,7973.0,6249.0,8.78854,,2011,28440.0,28954.0
675,Pinner                             , ,3998.0,1975.0,1015.0,3857.0,1819.0,1001.0,2.303547,,2011,7855.0,5810.0
676,Plaistow                           , ,10177.0,7245.0,4642.0,9855.0,6606.0,4743.0,6.342063,,2011,20032.0,23236.0
677,Preston Road                       , ,5021.0,2887.0,1858.0,4717.0,2589.0,1736.0,2.960512,,2011,9738.0,9070.0
678,Putney Bridge                      , ,8063.0,5598.0,4161.0,8669.0,5673.0,4525.0,5.331762,,2011,16732.0,19957.0
680,Queen's Park                       , ,9283.0,6206.0,4161.0,8381.0,5065.0,3878.0,5.529385,,2011,17664.0,19310.0
679,Queensbury                         , ,5245.0,2758.0,1981.0,5291.0,2678.0,1873.0,3.175666,,2011,10536.0,9290.0
681,Queensway                          , ,12979.0,11882.0,9198.0,12953.0,11821.0,8866.0,8.859128,,2011,25932.0,41767.0
682,Ravenscourt Park                   , ,4477.0,2393.0,1658.0,4264.0,2221.0,1672.0,2.647871,,2011,8741.0,7944.0
683,Rayners Lane                       , ,6629.0,3811.0,2497.0,6421.0,3621.0,2446.0,3.979751,,2011,13050.0,12375.0
684,Redbridge                          , ,4286.0,3227.0,2234.0,3868.0,2866.0,2059.0,2.633085,,2011,8154.0,10386.0
685,Regent's Park                      , ,5625.0,3553.0,2402.0,6418.0,4433.0,2946.0,3.777683,,2011,12043.0,13334.0
686,Richmond                           ,A,11184.0,10436.0,5428.0,11586.0,9995.0,5600.0,7.473874,,2011,22770.0,31459.0
687,Rickmansworth                      , ,3871.0,1478.0,776.0,3216.0,1389.0,697.0,2.029002,,2011,7087.0,4340.0
688,Roding Valley                      ,A,439.0,173.0,87.0,326.0,149.0,83.0,0.220319,,2011,765.0,492.0
690,Royal Oak                          , ,3541.0,1532.0,1142.0,3415.0,1441.0,1084.0,2.045798,,2011,6956.0,5199.0
691,Ruislip                            , ,2527.0,1643.0,912.0,2587.0,1657.0,912.0,1.573058,,2011,5114.0,5124.0
692,Ruislip Gardens                    , ,1746.0,1161.0,659.0,1481.0,953.0,628.0,1.002292,,2011,3227.0,3401.0
693,Ruislip Manor                      , ,2786.0,1383.0,712.0,2660.0,1287.0,696.0,1.59975,,2011,5446.0,4078.0
694,Russell Square                     , ,22464.0,17519.0,13128.0,22583.0,17577.0,12405.0,14.72833,,2011,45047.0,60629.0
698,Seven Sisters                      , ,20618.0,14734.0,10620.0,18468.0,12819.0,9823.0,12.527651,,2011,39086.0,47996.0
700,Shepherd's Bush (Cen)              , ,33237.0,31472.0,20489.0,30259.0,29381.0,19607.0,21.594508,,2011,63496.0,100949.0
775,Shepherd's Bush (H&C)              , ,4943.0,3387.0,2091.0,4669.0,2885.0,2005.0,2.999644,,2011,9612.0,10368.0
702,Sloane Square                      , ,24156.0,16393.0,9668.0,23811.0,16077.0,9249.0,14.940194,,2011,47967.0,51387.0
703,Snaresbrook                        , ,4882.0,2462.0,1495.0,3737.0,2254.0,1422.0,2.597942,,2011,8619.0,7633.0
704,South Ealing                       , ,5314.0,3786.0,2421.0,5212.0,3461.0,2399.0,3.324302,,2011,10526.0,12067.0
707,South Harrow                       , ,3589.0,2476.0,1680.0,3618.0,2503.0,1665.0,2.279634,,2011,7207.0,8324.0
708,South Kensington                   , ,46123.0,38493.0,27885.0,45879.0,39813.0,27369.0,30.608404,,2011,92002.0,133560.0
709,South Kenton                       ,A,1667.0,966.0,544.0,1475.0,872.0,598.0,0.95788,,2011,3142.0,2980.0
710,South Ruislip                      , ,2935.0,1987.0,1244.0,2664.0,1808.0,1180.0,1.756903,,2011,5599.0,6219.0
711,South Wimbledon                    , ,6288.0,4139.0,2661.0,5610.0,3999.0,2714.0,3.750495,,2011,11898.0,13513.0
712,South Woodford                     , ,6399.0,4111.0,2613.0,7770.0,5051.0,3028.0,4.394,,2011,14169.0,14803.0
705,Southfields                        , ,9046.0,5947.0,3540.0,7936.0,4788.0,3279.0,5.256987,,2011,16982.0,17554.0
